object,category,check,comments
flower,Natural,,
baby bottle,Mealtime Tool,,
milk,Food,,
pants,Clothing,,
soap,Work Tool,1,all cleaning products grouped with tools for work/cleaning? even if potentially personal hygeine products?
comb,Synthetic,,
banana,Food,,
starfruit,Food,,
wind up toy,Toy,,
stuffed animal,Toy,,
rock,Natural,,
fruit,Food,,
rope,Synthetic,,
stick,Natural,,
broom,Work Tool,,
guitar,Toy,1,
camera,Synthetic,,
ball,Toy,,
vest,Clothing,,
coconut,Food,,
nut,Food,,
tuber,Food,,
jacket,Clothing,,
swing,Toy,1,
candy,Food,,
book,Toy,1,few children's books
pencil,Toy,1,synthetic?
plastic bottle,Synthetic,,checked to confirm not mealtime-related
container,Synthetic,,
fruit (unknown variety),Food,,
grass,Natural,,
leaf,Natural,,
sago,Food,,
dress,Clothing,,
shorts,Clothing,,
pot,Mealtime Tool,,
mug,Mealtime Tool,,
shoe,Clothing,,
shirt,Clothing,,
stairs,Immovable,,
firewood,Synthetic,,
woven basket,Synthetic,,
plastic packaging,Synthetic,,
chapstick,Synthetic,,
bowl,Mealtime Tool,,
water,Work Tool,1,checked to confirm cleaning/handwashing context
blanket,Synthetic,,
sugar cane,Food,,
bread,Food,,
rice,Food,,
container lid,Synthetic,,
spoon,Mealtime Tool,,
seafood,Food,,
shell,Natural,,
clothespin,Synthetic,,
wooden pole,Synthetic,,
tapioca,Food,,
bucket,Synthetic,,
betelnut,Food,,
skirt,Clothing,,
rattle,Toy,,
toy car,Toy,,
plastic bag,Synthetic,,
plastic toy,Toy,,
rubber duck,Toy,,
bottle,Synthetic,1,will be addressed in last manual checks
pacifier,Toy,,
chair,Immovable,,
water bottle strap,Mealtime Tool,1,
noodles,Food,,
plant,Natural,,
baby bathtub,Synthetic,1,
wall,Immovable,,
fabric,Synthetic,,
floor,Immovable,,
table,Immovable,,
broom bristle,Synthetic,1,grouped with brooms?
phone,Synthetic,,
cotton debris,Synthetic,,
dirt,Natural,,
veranda,Immovable,,
house pile,Immovable,,
knife-W,Work Tool,,
knife-M,Mealtime Tool,,
dog,Natural,,kind of strange to include animals but such small proportion so leaving for now 
cat,Natural,,kind of strange to include animals but such small proportion so leaving for now 
papaya,Food,,
large plastic bin,Synthetic,,
spatula,Mealtime Tool,,
shelf,Immovable,,
mosquito net,Synthetic,,
purse,Clothing,,
empty drink bottle,Synthetic,,
rolled leaf,Natural,1,
bracelet,Clothing,,
hammock,Immovable,1,not immovable but large and closer to furniture than other synthetic
walking support,Immovable,,
bed sheet,Synthetic,,
door,Immovable,,
burlap,Synthetic,,
paintbrush,Toy,,
mat,Synthetic,,
string,Synthetic,,
cup,Mealtime Tool,,
bean,Food,,
money,Synthetic,,
chick,Natural,,
safety pin,Synthetic,1,Work Tool?
fishing debris,Synthetic,,
fishnet,Synthetic,,
drinking water,Food,,
mirror,Synthetic,,
blinds,Immovable,1,
hat,Clothing,,
mango,Food,,
wooden house frame,Immovable,1,will be addressed in last manual checks
sweater,Clothing,,
tree,Natural,,
teletubby toy,Toy,,
canoe,Synthetic,1,Immovable?
commercial fishing fragment,Synthetic,1,Work Tool?
wood slat,Synthetic,,
tongs,Mealtime Tool,,
roofing,Immovable,,
toy turtle,Toy,,
plate,Mealtime Tool,,
lunchbox,Mealtime Tool,,
princess bag,Toy,,
bark,Natural,,
leafy green,Food,,
flashlight,Synthetic,1,Work Tool?
water bottle carrier,Mealtime Tool,,
lotion,Synthetic,,
trash,Synthetic,,
jug,Mealtime Tool,,
hay,Natural,,
weight,Synthetic,,
hatchet,Work Tool,,
paper,Synthetic,,
scrub brush,Work Tool,,
belt,Clothing,,
pen,Toy,1,Synthetic?
detergent,Work Tool,1,
clothing,Clothing,,
tin container,Synthetic,,
berry,Natural,,
pill package,Synthetic,,
mumu'd tuber paste,Food,,
marble,Toy,,
coconut scraper,Mealtime Tool,,
battery,Synthetic,1,
wire,Synthetic,,
lightbulb,Synthetic,,
wash basin,Work Tool,,
buoy,Synthetic,,
fork,Mealtime Tool,,
guava,Food,,
pineapple,Food,,
cardboard box,Synthetic,,
plastic sheet,Synthetic,,
window,Immovable,,
drawer,Immovable,,
bottle cap,Synthetic,,
sieve,Work Tool,1,
camera cover,Clothing,1,grouped with vest?
packaged snack,Food,,
newspaper,Synthetic,,
crate,Synthetic,,
paper airplane,Toy,,
straw,Natural,1,will double check whether this is mealtime tool
wood shavings,Natural,1,
gas canister,Synthetic,,
rubber band,Synthetic,,
plant pot,Synthetic,1,Work Tool?
seed,Natural,,
bench,Immovable,,
barrel,Immovable,,
trash bin,Work Tool,1,
plastic clip,Synthetic,,
reusable water bottle,Mealtime Tool,,
cracker,Food,,
necklace,Clothing,,
plastic,Synthetic,,
dried mud chunk,Natural,,
rice ball,Food,,
plastic fragment,Synthetic,,
seafood in bowl,Food,1,will be addressed in last manual checks
brush,Synthetic,,
medicine tube,Synthetic,,
canteen,Mealtime Tool,,
leaf wrapper,Mealtime Tool,,
jar,Synthetic,,
passionfruit,Food,,
tag,Synthetic,,
avocado,Food,,
ribbon,Synthetic,,
metal fragment,Synthetic,,
meat,Food,,
toothbrush,Synthetic,,
lantern,Synthetic,,
scissors,Synthetic,1,Work Tool?
lime dipping stick,Mealtime Tool,,
lime,Food,,
nail,Work Tool,,
marker,Toy,,
tin foil,Synthetic,,
rake,Work Tool,,
juice,Food,,
package,Synthetic,1,will be addressed in last manual checks
turtle,Food,,
shell money,Synthetic,,
bowl of rice,Food,1,will be addressed in last manual checks
food,Food,1,will be addressed in last manual checks
feather,Natural,,
sand,Natural,,
lighter,Work Tool,1,
rug,Immovable,1,not immovable but large and closer to furniture than other synthetic
suitcase,Synthetic,,
cardboard packaging,Synthetic,,
tassel,Synthetic,,
screwdriver,Work Tool,,
cacao,Food,,
bowl of food,Mealtime Tool,1,will be addressed in last manual checks
calculator,Synthetic,,
baby powder,Synthetic,,
skewer,Mealtime Tool,,
cookie,Food,,
tortilla,Food,,
nail clippers,Synthetic,,
doll,Toy,,
soda,Food,,
magazine,Synthetic,,
box,Synthetic,,
pillar,Immovable,,
plastic basket,Synthetic,,
bed,Immovable,,
egg,Food,,
fence,Immovable,,
bready sheet,Food,,
rebar,Synthetic,1,
lollipop stick,Food,1,group with candy?
chicken,Natural,,
clothesline,Work Tool,1,
maraca,Toy,,
packaged food,Food,,
hearth,Immovable,,
ashes,Natural,1,
cut up plastic bottle,Synthetic,,
toy plant,Toy,,
embroidery ring,Work Tool,,
bulk food bag,Synthetic,,
shield,Synthetic,,
vase,Synthetic,,
movie,Synthetic,,
ruler,Synthetic,1,
shovel,Work Tool,,
mats,Food,,
cement fragment,Synthetic,1,
peach,Food,,
peanut,Food,,
corn,Food,,
photo,Synthetic,,
folder,Synthetic,,
hose,Work Tool,,
log,Natural,,
rambutan,Food,,
cleaning solution,Work Tool,,
grinder,Work Tool,,
weaving tool,Work Tool,,
baby sling,Clothing,,
chips,Food,,
toy lamb,Toy,,
pear,Food,,
vehicle,Immovable,,
teddy bear,Toy,,
bean soup,Food,,
stuffed animal monkey,Toy,,
shoelace,Clothing,,
patio edge,Immovable,,
green bean,Food,,
masa,Food,,
crayon,Toy,,
ladder,Immovable,1,Work Tool?
coloring book,Toy,,
spiky toy,Toy,,
stuffed animal dog,Toy,,
bubble wand,Toy,,
action figure,Toy,,
stuffed holiday animal,Toy,,
gardening hoe,Work Tool,,
apple,Food,,
mop,Work Tool,,
keychain,Synthetic,,
bike,Toy,1,
rubber fragment,Synthetic,,
popsicle,Food,,
curtains,Immovable,1,grouped with windows?
bubbles,Toy,,
chicharrones,Food,,
canned food,Food,,
slingshot,Toy,1,
hanger,Synthetic,,
flower toy,Toy,,
towel,Synthetic,,
television,Synthetic,,
measuring tape,Work Tool,,
stuffed animal unicorn,Toy,,
jelly cup,Food,,
meat bone,Food,,
metal pipe,Synthetic,,
hammer,Work Tool,,
remote,Synthetic,,
yarn,Synthetic,,
video game console,Synthetic,,
canola oil,Food,,
popsicle stick,Synthetic,,
tarp,Synthetic,1,
toy sink,Toy,,
corn plant,Natural,,
animal slap bracelet,Toy,,
vick's vapor rub,Synthetic,,
toy bear,Toy,,
toy,Toy,,
tape,Synthetic,,
paint,Toy,,
napkin,Mealtime Tool,1,
reusable water bottle lid,Mealtime Tool,1,group with water bottle?
green toy,Toy,,
pink toy,Toy,,
tsek,Clothing,,
energy drink,Food,,
sandcastle mold,Toy,,
toy plate,Toy,,
toy tray,Toy,,
mobile,Toy,,
beaker,Synthetic,,
coin bag,Synthetic,,
strainer,Mealtime Tool,,
sponge,Work Tool,,
CD,Synthetic,,
toy dinosaur,Toy,,
child play mat,Toy,,
feather duster,Work Tool,,
wagon,Toy,,
beads,Synthetic,,
styrofoam,Synthetic,,
toy bird,Toy,,
glasses,Clothing,,
gravel,Synthetic,,
toy teacup,Toy,,
metal clip,Synthetic,,
brick,Synthetic,,
citrus fruit,Food,,
chayote,Food,,
tire,Synthetic,,
stuffed animal bunny,Toy,,
salt,Food,,
notebook,Synthetic,,
hair clip,Clothing,,
pole,Synthetic,,
government food packet,Food,,
medicine bottle,Synthetic,,
wood disc,Synthetic,,
juice powder,Food,,
bottled water,Food,,
sock,Clothing,,
pipe instrument,Toy,1,
walkie talkie,Synthetic,,
paper towel,Synthetic,1,
metal chain,Synthetic,,
granola bar,Food,,
grape,Food,,
toothpaste,Synthetic,,
knitting needle,Work Tool,,
wheelbarrow,Work Tool,,
stereo,Synthetic,,
screw,Work Tool,,
plastic tubing,Synthetic,,
underwear,Clothing,,
level,Work Tool,,
wood fragment,Synthetic,,
stems,Natural,,
sink,Work Tool,1,
