Image,Object,Comments,ObjectCount,OutOfFrame,Reaching,StudyRelated,Food,Clothing,Toy,Book,Electronic,Plant,Animal,ToolWork,ToolMealtime,OtherLargeImmovable,OtherSynthetic,OtherNatural,None,Exclude,Unsure,Flagged,Skipped,sub_num
000000.00.gif,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4473
000005.00.gif,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4473
000010.01.gif,NA,"touching clothes, but i wouldn't count this as handling",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4473
000015.02.gif,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4473
000020.02.gif,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4473
000025.02.gif,toy faucet (attached to kitchen set),NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000030.03.gif,toy faucet (attached to kitchen set),NA,2,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000030.03_DUPLICATE1.gif,draggable snail (attached to string),NA,2,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000035.00.gif,draggable snail (attached to string),NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000040.01.gif,draggable snail (attached to string),NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000045.01.gif,stuffed snowman,NA,1,Y,Y,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000050.02.gif,stuffed snowman,NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000055.02.gif,stuffed snowman,NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
000100.03.gif,stuffed snowman,NA,1,N,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4473
