site,sub_num,age,sex,image,exclusion,category,object,object.basic,image_no,hr,min,sec,msec,timestamp
American,4473,17,F,000000.00.gif,None,NA,NA,NA,000000.00,0,0,0,0,0
American,4473,17,F,000005.00.gif,None,NA,NA,NA,000005.00,0,0,5,0,5000
American,4473,17,F,000010.01.gif,None,NA,NA,NA,000010.01,0,0,10,1,10001
American,4473,17,F,000015.02.gif,None,NA,NA,NA,000015.02,0,0,15,2,15002
American,4473,17,F,000020.02.gif,None,NA,NA,NA,000020.02,0,0,20,2,20002
American,4473,17,F,000025.02.gif,NA,Toy,toy sink,sink,000025.02,0,0,25,2,25002
American,4473,17,F,000030.03.gif,NA,Toy,toy sink,sink,000030.03,0,0,30,3,30003
American,4473,17,F,000030.03.gif,NA,Toy,toy snail,snail,000030.03,0,0,30,3,30003
American,4473,17,F,000035.00.gif,NA,Toy,toy snail,snail,000035.00,0,0,35,0,35000
American,4473,17,F,000040.01.gif,NA,Toy,toy snail,snail,000040.01,0,0,40,1,40001
American,4473,17,F,000045.01.gif,NA,Toy,stuffed snowman,snowman,000045.01,0,0,45,1,45001
American,4473,17,F,000050.02.gif,NA,Toy,stuffed snowman,snowman,000050.02,0,0,50,2,50002
American,4473,17,F,000055.02.gif,NA,Toy,stuffed snowman,snowman,000055.02,0,0,55,2,55002
American,4473,17,F,000100.03.gif,NA,Toy,stuffed snowman,snowman,000100.03,0,1,0,3,60003
American,4473,17,F,000105.03.gif,NA,Toy,stuffed snowman,snowman,000105.03,0,1,5,3,65003
American,4473,17,F,000110.00.gif,NA,Toy,stuffed snowman,snowman,000110.00,0,1,10,0,70000
American,4473,17,F,000115.01.gif,NA,Toy,stuffed snowman,snowman,000115.01,0,1,15,1,75001
American,4473,17,F,000120.01.gif,None,NA,NA,NA,000120.01,0,1,20,1,80001
American,4473,17,F,000125.02.gif,NA,Toy,stuffed snowman,snowman,000125.02,0,1,25,2,85002
American,4473,17,F,000130.02.gif,NA,Toy,stuffed snowman,snowman,000130.02,0,1,30,2,90002
American,4473,17,F,000135.03.gif,NA,Toy,stuffed snowman,snowman,000135.03,0,1,35,3,95003
American,4473,17,F,000140.03.gif,NA,Toy,stuffed snowman,snowman,000140.03,0,1,40,3,100003
American,4473,17,F,000145.00.gif,NA,Toy,stuffed snowman,snowman,000145.00,0,1,45,0,105000
American,4473,17,F,000150.01.gif,NA,Toy,stuffed snowman,snowman,000150.01,0,1,50,1,110001
American,4473,17,F,000155.01.gif,NA,Toy,stuffed dog,dog,000155.01,0,1,55,1,115001
American,4473,17,F,000200.02.gif,NA,Toy,stuffed dog,dog,000200.02,0,2,0,2,120002
American,4473,17,F,000205.02.gif,NA,Toy,stuffed dog,dog,000205.02,0,2,5,2,125002
American,4473,17,F,000210.03.gif,NA,Toy,stuffed dog,dog,000210.03,0,2,10,3,130003
American,4473,17,F,000215.00.gif,NA,Toy,stuffed dog,dog,000215.00,0,2,15,0,135000
American,4473,17,F,000220.01.gif,NA,Toy,stuffed dog,dog,000220.01,0,2,20,1,140001
American,4473,17,F,000225.01.gif,NA,Toy,stuffed dog,dog,000225.01,0,2,25,1,145001
American,4473,17,F,000230.02.gif,NA,Toy,stuffed dog,dog,000230.02,0,2,30,2,150002
American,4473,17,F,000235.02.gif,NA,Toy,stuffed dog,dog,000235.02,0,2,35,2,155002
American,4473,17,F,000240.03.gif,NA,Toy,stuffed dog,dog,000240.03,0,2,40,3,160003
American,4473,17,F,000245.03.gif,NA,Toy,stuffed dog,dog,000245.03,0,2,45,3,165003
American,4473,17,F,000250.00.gif,NA,Toy,stuffed dog,dog,000250.00,0,2,50,0,170000
American,4473,17,F,000255.01.gif,NA,Toy,stuffed dog,dog,000255.01,0,2,55,1,175001
American,4473,17,F,000300.01.gif,None,NA,NA,NA,000300.01,0,3,0,1,180001
American,4473,17,F,000305.02.gif,NA,Toy,stuffed dog,dog,000305.02,0,3,5,2,185002
American,4473,17,F,000310.02.gif,NA,Toy,stuffed dog,dog,000310.02,0,3,10,2,190002
American,4473,17,F,000315.03.gif,NA,Toy,stuffed dog,dog,000315.03,0,3,15,3,195003
American,4473,17,F,000320.03.gif,NA,Toy,stuffed dog,dog,000320.03,0,3,20,3,200003
American,4473,17,F,000325.00.gif,NA,Toy,stuffed dog,dog,000325.00,0,3,25,0,205000
